Query: killing incident
Ranked Documents	Document ID	First Sentence	Ranking Score
1	13	FIVE IRISH tourists charged in connection with an alleged air-rage incident will face trial at a Crown Court.	4.330917
2	33	A drifter who killed three friends was jailed for life at Reading Crown Court.	2.549557
3	106	A CONVICTED sex attacker who was cleared of killing and mutilating a prostitute six years ago was jailed for life at the Old Bailey yesterday for murdering another woman.	2.549557
4	32	DRUG-CRAZED axeman Alan Hobbs who butchered three friends in a 24-hour frenzy was jailed for life yesterday.	2.185335
5	12	FIVE Irish tourists charged in connection with an alleged air rage incident which led to a Jamaica-bound plane being diverted to the US have been committed for trial at Chichester Crown Court.	2.165458
6	26	Police officers beat up a man in an "outrageous" display of brutality, then lied about the incident on oath, the old Bailey heard yesterday.	1.924852
7	28	 AN AXE monster who slaughtered a charity worker and her two lovers in scenes of 'unimaginable savagery' was jailed for life yesterday.	1.752821
8	34	A DRIFTER who killed three friends in a savage axe attack was jailed for life yesterday.	1.699705
9	93	NAZI nailbomber David Copeland had a death wish from the age of 14, a court heard yesterday.	1.699705
10	101	A BRUTAL sex monster dubbed by police a modern Jack the Ripper was jailed for life yesterday.	1.699705

Query: suspect charged with murder
Ranked Documents	Document ID	First Sentence	Ranking Score
1	47	ROBINA Hashim, 29, was remanded in custody by Burnley, Lancs, JPs yesterday charged with murdering her baby daughter.	4.771950
2	49	THE MOTHER of a four-month-old girl whose body was found in a canal has been charged with her baby's murder.	4.771950
3	85	 Thomas AlIsop, 45, of Ludlow Square in north Belfast, appeared in court yesterday charged with the murder of Mr Bennett.	4.771950
4	1	A MAN of 80 appeared before Birmingham JPs yesterday charged with 14 indecent assaults on boys at a children's home.	2.549557
5	8	A SOCIAL services inspector was yesterday jailed for 14 years for physically and sexually abusing boys in his care while serving as headmaster at a special school.	2.549557
6	11	An executive accused of having sex with a stranger on board an American Airlines flight from Dallas to Manchester last October was sent for trial on April 3.	2.549557
7	12	FIVE Irish tourists charged in connection with an alleged air rage incident which led to a Jamaica-bound plane being diverted to the US have been committed for trial at Chichester Crown Court.	2.549557
8	13	FIVE IRISH tourists charged in connection with an alleged air-rage incident will face trial at a Crown Court.	2.549557
9	75	THE Deputy Chief Constable of Surrey was in court yesterday charged with four sex attacks.	2.549557
10	77	Ian Beckett, 52, the Deputy Chief Constable of Surrey Police, has been remanded by London magistrates on four charges of indecent assault against two women at the Mount Browne headquarters.	2.549557

Query: court
Ranked Documents	Document ID	First Sentence	Ranking Score
1	13	FIVE IRISH tourists charged in connection with an alleged air-rage incident will face trial at a Crown Court.	1.353637
2	52	TODDLER Molly Adams was killed by her 12-year-old babysitter, a court heard yesterday.	1.353637
3	75	THE Deputy Chief Constable of Surrey was in court yesterday charged with four sex attacks.	1.353637
4	85	 Thomas AlIsop, 45, of Ludlow Square in north Belfast, appeared in court yesterday charged with the murder of Mr Bennett.	1.353637
5	110	TWO Egyptians appeared in court yesterday in London in connection with the bombing of two American embassies in Africa.	1.353637
6	113	Two Egyptians appeared at Bow Street magistrates' court yesterday in connectionwith the bombings last year of two American embassies in Africa.	1.353637
7	127	THE TRIAL of a 13-year-old youth accused of killing a boy of nine by setting his petrol-soaked clothes alight collapsed yesterdaywhen the judge ruled that theteenager could not understand the proceedings.	1.353637
8	144	Three men found guilty of murdering 18-year-old student Jonathan Coles, who was thrown into a river after leaving a Milton Keynes club, were facing life sentences last night.	1.353637
9	149	A WOMAN doctor who set up a brothel to pay the bills was jailed for three months yesterday.	1.353637
10	155	Maurice Travis, 19, was jailed for life at Wolverhampton Crown Court for stabbing Alan Averall to death on his 17th birthday after being refused cake at Stoke Heath Young Offenders' Institute.	1.353637

Query: jury sentenced murderer to prison
Ranked Documents	Document ID	First Sentence	Ranking Score
1	144	Three men found guilty of murdering 18-year-old student Jonathan Coles, who was thrown into a river after leaving a Milton Keynes club, were facing life sentences last night.	4.998720
2	99	THE father of a young mum butchered by a 19st sex monster last night blasted the legal system for allowing the fiend to remain free for 23 years.	4.953628
3	4	Two key workers at a children's home were sentenced yesterday to a total of 23 years in prison for a string of sexual assaults on boys in their care.	4.817823
4	138	A FORMER double-glazing salesman received two life sentences yesterday for the murders of a prize-winning dog breeder and her elderly mother at their isolated farmhouse.	4.540855
5	51	An 18-year-old won the backing of a high court judge yesterday to keep her new-born baby with her in prison.	4.082989
6	107	A SEX offender who boasted in prison that he had got away with killing one woman and had murdered several others was yesterday jailed for life for murdering a young mother whose mutilated body was found in a shallow grave in Surrey.	3.517400
7	143	A GANG who terrorised a student before throwing him into a river where he drowned were convicted of his killing yesterday.	3.447525
8	121	A MAN accused of murdering British postman Brian Hagland at Sydney's Bondi Beach was cleared yesterday.	3.279726
9	44	BABY killer Sally Clarke protested her innocence yesterday from her prison cell.	3.050793
10	123	A MAN who attacked a British postman near Bondi Beach in Sydney has been cleared of his murder.	2.984170

Query: movie
Ranked Documents	Document ID	First Sentence	Ranking Score
1	205	LIZ HURLEY basked in reflected glory at the London premier of her new movie Mickey Blue Eyes last night.	3.687061
2	320	BRIDE-TO-be Catherine Zeta Jones was celebrating again yesterday after signing a multi million-pound deal to make up to 12 movies.	3.687061
3	319	STUNNING Catherine Zeta Jones has signed a �250million deal to make Hollywood movies, it was revealed last night.	2.458040
4	115	JAMES Bond star Pierce Brosnan plants a kiss on fiancee Keely Shaye-Smith at last night's British premiere of his new 007 movie.	2.212236
5	86	SKY Television has scooped the rights to screen the Blackadder movie before the BBC.	1.843530
6	183	WHILE Kate is canoodling in Thailand, her tramp-like ox Johnny Depp is in London for the opening of his new film Sleepy Hollow.	1.843530
7	275	ALL Saint Nicole Appleton is to go topless in her movie debut, according to her big sister Natalie.	1.843530
8	312	THOMAS The Tank Engine is being made into a blockbuster movie.	1.843530
9	114	HERE'S Pierce Brosnan with the hottest trio of Bond girls ever at last night's UK premiere of The World Is Not Enough.	1.474824
10	117	IN true 007 style, Pierce Brosnan found himself surrounded by beautiful women at the European premiere of the 19th James Bond film in London last night.	1.474824

Query: entertainment films
Ranked Documents	Document ID	First Sentence	Ranking Score
1	322	WHILE much of the world's press worried yesterday about whether Catherine Zeta-Jones would sign a pre-nuptial agreement to stop her getting her hands on Michael Douglas's fortune, the Welsh actress was quietly making herself and her family richer without recourse to her fianc�'s wealth.	3.748405
2	319	STUNNING Catherine Zeta Jones has signed a �250million deal to make Hollywood movies, it was revealed last night.	3.531135
3	86	SKY Television has scooped the rights to screen the Blackadder movie before the BBC.	2.716207
4	118	007 WAS back in action last night for the British premiere of The World Is Not Enough at Leicester Square, London.	2.716207
